id,population
S34001185,398
S34001186,332
S34001187,219
S34001188,206
S34001189,246
S34001190,389
S34001191,236
S34001192,243
S34001193,386
S34001194,272
S34001195,320
S34001196,292
S34001197,379
S34001198,276
S34001199,251
S34001200,216
S34001201,292
S34001202,249
S34001203,722
S34001204,227
S34001205,448
S34001206,309
S34001207,663
S34001208,273
S34001209,271
S34001210,277
S34001211,272
S34001212,257
S34001213,277
S34001214,209
S34001215,276
S34001216,577
S34001217,257
S34001218,309
S34001219,616
S34001220,474
S34001221,203
S34001222,211
S34001223,249
S34001224,313
S34001225,538
S34001226,285
S34001227,379
S34001228,231
S34001229,202
S34001230,225
S34001231,454
S34001232,264
S34001233,691
S34001234,265
S34001235,217
S34001236,264
S34001237,519
S34001238,338
S34001239,416
S34001240,319
S34001241,204
S34001242,456
S34001243,420
S34001244,316
S34001245,213
S34001246,335
S34001247,229
S34001248,560
S34001249,233
S34001250,627
S34001251,352
S34001252,243
S34001253,483
S34001254,1632
S34001255,496
S34001256,239
S34001257,330
S34001258,357
S34001259,583
S34001260,234
S34001261,297
S34001262,367
S34001263,666
S34001264,206
S34001265,300
S34001266,1153
S34001267,275
S34001268,245
S34001269,492
S34001270,420
S34001271,219
S34001272,324
S34001273,598
S34001274,289
S34001275,206
S34001276,254
S34001277,235
S34001278,383
S34001279,349
S34001280,258
S34001281,330
S34001282,222
S34001283,380
S34001284,266
S34001285,233
S34001286,217
S34001287,609
S34001288,356
S34001289,204
S34001290,363
S34001291,210
S34001292,293
S34001293,250
S34001294,251
S34001295,335
S34001296,200
S34001297,557
S34001298,257
S34001299,380
S34001300,513
S34001301,317
S34001302,315
S34001303,296
S34001304,519
S34001305,530
S34001306,867
S34001307,387
S34001308,336
S34001309,524
S34001310,202
S34001311,208
S34001312,200
S34001313,230
S34001314,278
S34001315,277
S34001316,203
S34001317,310
S34001318,473
S34001319,997
S34001320,225
S34001321,252
S34001322,493
S34001323,200
S34001324,208
S34001325,202
S34001326,203
S34001327,256
S34001328,276
S34001329,332
S34001330,941
S34001331,331
S34001332,598
S34001333,716
S34001334,237
S34001335,385
S34001336,207
S34001337,261
S34001338,463
S34001339,324
S34001340,214
S34001341,490
S34001342,234
S34001343,200
S34001344,221
S34001345,270
S34001346,456
S34001347,382
S34001348,346
S34001349,291
S34001350,218
S34001351,222
S34001352,652
S34001353,306
S34001354,262
S34001355,297
S34001356,501
S34001357,316
S34001358,267
S34001359,209
S34001360,251
S34001361,548
S34001362,221
S34001363,281
S34001364,408
S34001365,249
S34001366,350
S34001367,200
S34001368,232
S34001369,262
S34001370,282
S34001371,391
S34001372,499
S34001373,470
S34001374,502
S34001375,205
S34001376,337
S34001377,273
S34001378,284
S34001379,209
S34001380,291
S34001381,400
S34001382,405
S34001383,240
S34001384,802
S34001385,292
S34001386,230
S34001387,307
S34001388,397
S34001389,617
S34001390,201
S34001391,306
S34001392,512
S34001393,233
S34001394,208
S34001395,383
S34001396,204
S34001397,233
S34001398,310
S34001399,207
S34001400,283
S34001401,315
S34001402,210
S34001403,330
S34001404,206
S34001405,481
S34001406,252
S34001407,440
S34001408,363
S34001409,379
S34001410,348
S34001411,208
S34001412,272
S34001413,289
S34001414,276
S34001415,448
S34001416,595
S34001417,921
S34001418,322
S34001419,388
S34001420,212
S34001421,479
S34001422,359
S34001423,800
S34001424,288
S34001425,874
S34001426,321
S34001427,253
S34001428,431
S34001429,298
S34001430,471
S34001431,243
S34001432,310
S34001433,534
S34001434,221
S34001435,216
S34001436,347
S34001437,243
S34001438,233
S34001439,390
S34001440,257
S34001441,353
S34001442,272
S34001443,237
S34001444,662
S34001445,452
S34001446,482
S34001447,305
S34001448,436
S34001449,275
S34001450,485
S34001451,288
S34001452,291
S34001453,268
S34001454,479
S34001455,270
S34001456,640
S34001457,265
S34001458,317
S34001459,1790
S34001460,227
S34001461,233
S34001462,257
S34001463,405
S34001464,516
S34001465,470
S34001466,299
S34001467,267
S34001468,282
S34001469,431
S34001470,289
S34001471,212
S34001472,237
S34001473,246
S34001474,337
S34001475,215
S34001476,982
S34001477,308
S34001478,350
S34001479,272
S34001480,482
S34001481,303
S34001482,491
S34001483,203
S34001484,359
S34001485,225
S34001486,336
S34001487,619
S34001488,347
S34001489,234
S34001490,551
S34001491,1460
S34001492,451
S34001493,223
S34001494,234
S34001495,288
S34001496,525
S34001497,208
S34001498,739
S34001499,344
S34001500,236
S34001501,205
S34001502,341
S34001503,306
S34001504,242
S34001505,256
S34001506,240
S34001507,428
S34001508,560
S34001509,366
S34001510,467
S34001511,214
S34001512,203
S34001513,206
S34001514,215
S34001515,339
S34001516,321
S34001517,239
S34001518,282
S34001519,421
S34001520,414
S34001521,616
S34001522,206
S34001523,283
S34001524,530
S34001525,203
S34001526,554
S34001527,297
S34001528,499
S34001529,388
S34001530,215
S34001531,224
S34001532,271
S34001533,632
S34001534,231
S34001535,234
S34001536,203
S34001537,249
S34001538,960
S34001539,886
S34001540,506
S34001541,350
S34001542,378
S34001543,327
S34001544,282
S34001545,227
S34001546,252
S34001547,225
S34001548,279
S34001549,2700
S34001550,424
S34001551,236
S34001552,295
S34001553,235
S34001554,438
S34001555,305
S34001556,1106
S34001557,218
S34001558,401
S34001559,295
S34001560,202
S34001561,396
S34001562,505
S34001563,212
S34001564,1030
S34001565,511
S34001566,480
S34001567,327
S34001568,3265
S34001569,497
S34001570,405
S34001571,572
S34001572,232
S34001573,436
S34001574,502
S34001575,245
S34001576,419
S34001577,246
S34001578,245
S34001579,230
S34001580,252
S34001581,224
S34001582,372
S34001583,255
S34001584,429
S34001585,204
S34001586,619
S34001587,377
S34001588,230
S34001589,234
S34001590,943
S34001591,262
S34001592,381
S34001593,211
S34001594,281
S34001595,215
S34001596,244
S34001597,377
S34001598,248
S34001599,231
S34001600,2007
S34001601,943
S34001602,353
S34001603,204
S34001604,248
S34001605,326
S34001606,301
S34001607,238
S34001608,410
S34001609,244
S34001610,260
S34001611,272
S34001612,207
S34001613,220
S34001614,227
S34001615,344
S34001616,1134
S34001617,275
S34001618,3860
S34001619,310
S34001620,453
S34001621,478
S34001622,205
S34001623,296
S34001624,361
S34001625,239
S34001626,424
S34001627,592
S34001628,241
S34001629,319
S34001630,343
S34001631,708
S34001632,426
S34001633,218
S34001634,329
S34001635,281
S34001636,215
S34001637,259
S34001638,217
S34001639,319
S34001640,430
S34001641,227
S34001642,207
S34001643,225
S34001644,286
S34001645,308
S34001646,240
S34001647,569
S34001648,877
S34001649,250
S34001650,240
S34001651,216
S34001652,1080
S34001653,309
S34001654,226
S34001655,264
S34001656,246
S34001657,479
S34001658,275
S34001659,319
S34001660,259
S34001661,211
S34001662,202
S34001663,313
S34001664,457
S34001665,350
S34001666,415
S34001667,563
S34001668,225
S34001669,534
S34001670,221
S34001671,479
S34001672,258
S34001673,639
S34001674,1313
S34001675,489
S34001676,382
S34001677,255
S34001678,386
S34001679,253
S34001680,518
S34001681,326
S34001682,663
S34001683,220
S34001684,213
S34001685,1090
S34001686,927
S34001687,258
S34001688,432
S34001689,275
S34001690,569
S34001691,243
S34001692,227
S34001693,260
S34001694,344
S34001695,391
S34001696,256
S34001697,393
S34001698,245
S34001699,216
S34001700,530
S34001701,312
S34001702,371
S34001703,212
S34001704,464
S34001705,529
S34001706,352
S34001707,541
S34001708,458
S34001709,339
S34001710,354
S34001711,531
S34001712,774
S34001713,361
S34001714,314
S34001715,265
S34001716,381
S34001717,287
S34001718,273
S34001719,1974
S34001720,218
S34001721,254
S34001722,288
S34001723,270
S34001724,309
S34001725,484
S34001726,237
S34001727,235
S34001728,273
S34001729,211
S34001730,254
S34001731,572
S34001732,215
S34001733,293
S34001734,290
S34001735,402
S34001736,243
S34001737,264
S34001738,209
S34001739,323
S34001740,301
S34001741,204
S34001742,723
S34001743,301
S34001744,275
S34001745,328
S34001746,633
S34001747,370
S34001748,262
S34001749,258
S34001750,314
S34001751,347
S34001752,204
S34001753,760
S34001754,257
S34001755,231
S34001756,282
S34001757,468
S34001758,248
S34001759,348
S34001760,474
S34001761,228
S34001762,690
S34001763,297
S34001764,341
S34001765,404
S34001766,603
S34001767,420
S34001768,281
S34001769,489
S34001770,340
S34001771,298
S34001772,632
S34001773,345
S34001774,326
S34001775,581
S34001776,233
S34001777,351
S34001778,393
S34001779,501
S34001780,256
S34001781,283
S34001782,213
S34001783,237
S34001784,217
S34001785,340
S34001786,208
S34001787,354
S34001788,342
S34001789,252
S34001790,449
S34001791,377
S34001792,362
S34001793,283
S34001794,2103
S34001795,289
S34001796,349
S34001797,287
S34001798,335
S34001799,285
S34001800,440
S34001801,504
S34001802,264
S34001803,330
S34001804,254
S34001805,397
S34001806,201
S34001807,407
S34001808,241
S34001809,701
S34001810,289
S34001811,608
S34001812,297
S34001813,280
S34001814,358
S34001815,325
S34001816,503
S34001817,808
S34001818,312
S34001819,235
S34001820,369
S34001821,927
S34001822,242
S34001823,291
S34001824,370
S34001825,392
S34001826,236
S34001827,648
S34001828,245
S34001829,208
S34001830,362
S34001831,255
S34001832,245
S34001833,443
S34001834,569
S34001835,281
S34001836,248
S34001837,304
S34001838,279
S34001839,250
S34001840,342
S34001841,208
S34001842,1317
S34001843,205
S34001844,291
S34001845,275
S34001846,272
S34001847,780
S34001848,206
S34001849,403
S34001850,208
S34001851,412
S34001852,457
S34001853,364
S34001854,416
S34001855,298
S34001856,214
S34001857,1145
S34001858,420
S34001859,582
S34001860,428
S34001861,773
S34001862,216
S34001863,419
S34001864,872
S34001865,249
S34001866,586
S34001867,387
S34001868,224
S34001869,287
S34001870,342
S34001871,327
S34001872,616
S34001873,568
S34001874,305
S34001875,286
S34001876,671
S34001877,2319
S34001878,296
S34001879,641
S34001880,445
S34001881,578
S34001882,245
S34001883,256
S34001884,262
S34001885,405
S34001886,210
S34001887,231
S34001888,329
S34001889,404
S34001890,203
S34001891,256
S34001892,451
S34001893,440
S34001894,216
S34001895,272
S34001896,331
S34001897,352
S34001898,211
S34001899,286
S34001900,369
S34001901,377
S34001902,1025
S34001903,415
S34001904,310
S34001905,261
S34001906,466
S34001907,239
S34001908,554
S34001909,209
S34001910,471
S34001911,268
S34001912,229
S34001913,212
S34001914,265
S34001915,200
S34001916,740
S34001917,216
S34001918,294
S34001919,319
S34001920,437
S34001921,239
S34001922,283
S34001923,297
S34001924,429
S34001925,238
S34001926,529
S34001927,600
S34001928,365
S34001929,244
S34001930,316
S34001931,428
S34001932,219
S34001933,280
S34001934,229
S34001935,253
S34001936,212
S34001937,378
S34001938,327
S34001939,666
S34001940,556
S34001941,254
S34001942,426
S34001943,346
S34001944,203
S34001945,218
S34001946,224
S34001947,312
S34001948,707
S34001949,423
S34001950,303
S34001951,267
S34001952,568
S34001953,504
S34001954,281
S34001955,399
S34001956,201
S34001957,271
S34001958,226
S34001959,399
S34001960,272
S34001961,485
S34001962,616
S34001963,419
S34001964,392
S34001965,218
S34001966,361
S34001967,659
S34001968,475
S34001969,593
S34001970,275
